Type,Csid,Cgrid,Cap_kW,waitingLine,Vol_0min,Vol_30min,Vol_60min,ElapsedTime
F,90000400,0,0,0,0,0,0,2100
F,90000401,1,0,0,0,0,0,2100
F,90000800,0,0,0,0,0,0,2100
F,90001000,0,0,0,0,0,0,2100
F,90001200,0,0,0,0,0,0,2100
F,90001201,1,0,0,0,0,0,2100
F,90001600,0,0,0,0,0,0,2100
F,90000000,0,0,0,0,0,0,2160
F,90000001,1,0,0,0,0,0,2160
F,90000200,0,0,0,0,0,0,2160
F,90000201,1,0,0,0,0,0,2160
F,90000400,0,0,0,0,0,0,2160
F,90000401,1,0,0,0,0,0,2160
F,90000800,0,0,0,0,0,0,2160
F,90001000,0,0,0,0,0,0,2160
F,90001200,0,0,0,0,0,0,2160
F,90001201,1,0,0,0,0,0,2160
F,90001600,0,0,0,0,0,0,2160
F,90000000,0,0,0,0,0,0,2220
F,90000001,1,0,0,0,0,0,2220
F,90000200,0,0,0,0,0,0,2220
F,90000201,1,0,0,0,0,0,2220
F,90000400,0,0,0,0,0,0,2220
F,90000401,1,0,0,0,0,0,2220
F,90000800,0,0,0,0,0,0,2220
F,90001000,0,0,0,0,0,0,2220
F,90001200,0,0,0,0,0,0,2220
F,90001201,1,0,0,0,0,0,2220
F,90001600,0,0,0,0,0,0,2220
F,90000000,0,0,0,0,0,0,2280
F,90000001,1,0,0,0,0,0,2280
F,90000200,0,0,0,0,0,0,2280
F,90000201,1,0,0,0,0,0,2280
F,90000400,0,0,0,0,0,0,2280
F,90000401,1,0,0,0,0,0,2280
F,90000800,0,0,0,0,0,0,2280
F,90001000,0,0,0,0,0,0,2280
F,90001200,0,0,0,0,0,0,2280
F,90001201,1,0,0,0,0,0,2280
F,90001600,0,0,0,0,0,0,2280
F,90000000,0,0,0,0,0,0,2340
F,90000001,1,0,0,0,0,0,2340
F,90000200,0,0,0,0,0,0,2340
F,90000201,1,0,0,0,0,0,2340
F,90000400,0,0,0,0,0,0,2340
F,90000401,1,0,0,0,0,0,2340
F,90000800,0,0,0,0,0,0,2340
F,90001000,0,0,0,0,0,0,2340
F,90001200,0,0,0,0,0,0,2340
F,90001201,1,0,0,0,0,0,2340
F,90001600,0,0,0,0,0,0,2340
F,90000000,0,0,0,0,0,0,2400
F,90000001,1,0,0,0,0,0,2400
F,90000200,0,0,0,0,0,0,2400
F,90000201,1,0,0,0,0,0,2400
F,90000400,0,0,0,0,0,0,2400
F,90000401,1,0,0,0,0,0,2400
F,90000800,0,0,0,0,0,0,2400
F,90001000,0,0,0,0,0,0,2400
F,90001200,0,0,0,0,0,0,2400
F,90001201,1,0,0,0,0,0,2400
F,90001600,0,0,0,0,0,0,2400
F,90000000,0,0,0,0,0,0,2460
F,90000001,1,0,0,0,0,0,2460
F,90000200,0,0,0,0,0,0,2460
F,90000201,1,0,0,0,0,0,2460
F,90000400,0,0,0,0,0,0,2460
F,90000401,1,0,0,0,0,0,2460
F,90000800,0,0,0,0,0,0,2460
F,90001000,0,0,0,0,0,0,2460
F,90001200,0,0,0,0,0,0,2460
